,title,price,date_posted,address,rental_type,num_bedrooms,num_bathrooms,url,company_type,num_parking,agreement_type,pet_friendly,move_in_date,size_sqft,furnished,air_conditioning,smoking_permitted,barrier_free_entrances_ramps,visual_aids,accessible_washrooms_in_suite,heat,hydro,water,cable_tv,internet,laundry_unit,laundry_building,dishwasher,fridge_freezer,yard,balcony,building_security,building_elevator,building_gym,bycycle_parking,storage_space,postal_code,rate_per_sqft,location,lat,long,region
0,FABULOUS 1 BEDROOM - DOWNTOWN HALIFAX,1995.0,2024-03-26 21:01:49+00:00,"1015 Barrington Street, Halifax, NS, B3H 4R4",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fabulous-1-bedroom-downtown-halifax/1667845560,Professional,0.0,1 Year,Limited,2024-04-01 00:00:00+00:00,500.0,False,False,True,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False,B3H 4R4,3.99,"Peninsula Place, 1015, Barrington Street, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 4R4, Canada",44.6362694,-63.56922652845665,South End Halifax
1,LARGE 2 BEDROOM AVAILABLE,1995.0,2024-03-26 01:52:35+00:00,"30 Ridgevalley Road, Halifax, NS, B3P 2J8",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-2-bedroom-available/1688104521,Professional,1.0,1 Year,Limited,2024-04-01 00:00:00+00:00,500.0,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,B3P 2J8,3.99,,,,Cowie Hill
2,OPEN HOUSE SATURDAY 10-4 - 1 BEDROOM ON PUBLIC GARDENS,1995.0,2024-03-26 21:01:54+00:00,"1545 / 1551 South Park Street, Halifax, NS, B3J 4B3",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-1-bedroom-on-public-gardens/1678071862,Professional,0.0,1 Year,Limited,2024-04-01 00:00:00+00:00,500.0,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,True,True,False,B3J 4B3,3.99,,,,Downtown Halifax
3,2 Bedroom + DEN Penthouse in Halifax for April,4195.0,2024-03-25 18:57:23+00:00,"5450 Kaye Street, Halifax, NS, B3K 0G7",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-den-penthouse-in-halifax-for-april/1679579341,Professional,0.0,1 Year,No,2024-04-01 00:00:00+00:00,1437.0,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,True,B3K 0G7,2.92,"St. Joseph's Square, 5450, Kaye Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 0G7, Canada",44.6619892,-63.597280674018435,North End Halifax
4,NOW SHOWING - Beautiful 2 Bedroom + Den **Farview**,2200.0,2024-03-25 17:15:31+00:00,"Adelaide Avenue, Halifax, NS",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/now-showing-beautiful-2-bedroom-den-farview/1687002562,Owner,1.0,1 Year,No,2024-03-01 00:00:00+00:00,1000.0,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,,2.2,"Adelaide Avenue, Fairview Estates, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3N 2W2, Canada",44.6545987,-63.6425665,Fairview Halifax
5,LUXURY 1 BED + DEN IN BEDFORD,1995.0,2024-03-26 01:52:54+00:00,"230 Larry Uteck Blvd, Bedford, NS, B3N 0N1",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/luxury-1-bed-den-in-bedford/1646233967,Professional,0.0,1 Year,No,2024-05-01 00:00:00+00:00,500.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,True,True,False,B3N 0N1,3.99,,,,Fairview Halifax
6,OPEN HOUSE SATURDAY 10-4 -  LUXURIOUS 2 BEDROOM DOWNTOWN,1995.0,2024-03-26 21:01:55+00:00,"1545 / 1551 South Park Street, Halifax, NS, B3J 4B3",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-luxurious-2-bedroom-downtown/1683700599,Professional,0.0,1 Year,Limited,2024-05-01 00:00:00+00:00,500.0,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,True,False,False,B3J 4B3,3.99,,,,Downtown Halifax
7,LOVELY 1 BEDROOM AVAILABLE IN CLAYTON PARK,1839.0,2024-03-26 21:01:55+00:00,"85 Westgrove, 241 Willett Street, 235 Willett Street, Halifax, NS, B3M 3L7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/lovely-1-bedroom-available-in-clayton-park/1688104514,Professional,1.0,1 Year,Limited,2024-05-01 00:00:00+00:00,500.0,False,False,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,B3M 3L7,3.68,,,,Larry Uteck
10,LARGE 2 BEDROOM IN WEST END HALIFAX,2291.0,2024-03-26 21:01:46+00:00,"6969 Bayers Road, Halifax, NS, B3L 4P3",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-2-bedroom-in-west-end-halifax/1570198829,Professional,1.0,1 Year,No,2024-05-01 00:00:00+00:00,500.0,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,B3L 4P3,4.58,"Bayers Park Apartments I, 6969, Bayers Road, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3L 4P3, Canada",44.655507,-63.624259720679014,West End of Halifax
12,1 bed 1 bath,1300.0,2024-03-26 20:36:51+00:00,"1452 Brenton St, Halifax, NS B3J 2K7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bed-1-bath/1689294524,Owner,0.0,1 Year,No,2024-05-01 00:00:00+00:00,250.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,B3J 2K7,5.2,,,,Downtown Halifax
