title,price,date_posted,address,rental_type,num_bedrooms,num_bathrooms,url,company,company_type,Parking Included,Agreement Type,Pet Friendly,Move-In Date,Size (sqft),Furnished,Air Conditioning,Smoking Permitted,Elevator Accessibility Features,Barrier-free Entrances and Ramps,Visual Aids,Accessible Washrooms in Suite,heat,hydro,water,cable_tv,internet,laundry_unit,laundry_building,dishwasher,fridge_freezer,yard,balcony,building_security,building_elevator,building_gym,bycycle_parking,storage_space
FABULOUS 1 BEDROOM - DOWNTOWN HALIFAX,,2024-03-26T21:01:49.000Z,"1015 Barrington Street, Halifax, NS, B3H 4R4",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fabulous-1-bedroom-downtown-halifax/1667845560,Kijiji User,Professional,0,1 Year,Limited,,Not Available,No,No,Yes,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No
LARGE 2 BEDROOM AVAILABLE,,2024-03-26T01:52:35.000Z,"30 Ridgevalley Road, Halifax, NS, B3P 2J8",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-2-bedroom-available/1688104521,Kijiji User,Professional,1,1 Year,Limited,,Not Available,No,No,Yes,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No
OPEN HOUSE SATURDAY 10-4 - 1 BEDROOM ON PUBLIC GARDENS,,2024-03-26T21:01:54.000Z,"1545 / 1551 South Park Street, Halifax, NS, B3J 4B3",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-1-bedroom-on-public-gardens/1678071862,Kijiji User,Professional,0,1 Year,Limited,,Not Available,No,No,No,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
2 Bedroom + DEN Penthouse in Halifax for April,4195.,2024-03-25T18:57:23.000Z,"5450 Kaye Street, Halifax, NS, B3K 0G7",Apartment,2 + Den,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-den-penthouse-in-halifax-for-april/1679579341,Kijiji User,Professional,0,1 Year,No,"April 1, 2024","1,437",No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
NOW SHOWING - Beautiful 2 Bedroom + Den **Farview**,2200.,2024-03-25T17:15:31.000Z,"Adelaide Avenue, Halifax, NS",Apartment,2 + Den,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/now-showing-beautiful-2-bedroom-den-farview/1687002562,Kijiji User,Owner,1,1 Year,No,"March 1, 2024","1,000",No,Yes,No,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
LUXURY 1 BED + DEN IN BEDFORD,,2024-03-26T01:52:54.000Z,"230 Larry Uteck Blvd, Bedford, NS, B3N 0N1",Apartment,1 + Den,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/luxury-1-bed-den-in-bedford/1646233967,Kijiji User,Professional,0,1 Year,No,,Not Available,No,Yes,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
OPEN HOUSE SATURDAY 10-4 -  LUXURIOUS 2 BEDROOM DOWNTOWN,,2024-03-26T21:01:55.000Z,"1545 / 1551 South Park Street, Halifax, NS, B3J 4B3",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-luxurious-2-bedroom-downtown/1683700599,Kijiji User,Professional,0,1 Year,Limited,,Not Available,No,No,Yes,,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No
LOVELY 1 BEDROOM AVAILABLE IN CLAYTON PARK,1839.,2024-03-26T21:01:55.000Z,"85 Westgrove, 241 Willett Street, 235 Willett Street, Halifax, NS, B3M 3L7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/lovely-1-bedroom-available-in-clayton-park/1688104514,Kijiji User,Professional,1,1 Year,Limited,,Not Available,No,No,Yes,,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes
OPEN HOUSE SATURDAY 10-4 - 1 BEDROOM ON PUBLIC GARDENS,,2024-03-26T21:01:54.000Z,"1545 / 1551 South Park Street, Halifax, NS, B3J 4B3",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-1-bedroom-on-public-gardens/1678071862,Kijiji User,Professional,0,1 Year,Limited,,Not Available,No,No,No,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
FABULOUS 1 BEDROOM - DOWNTOWN HALIFAX,,2024-03-26T21:01:49.000Z,"1015 Barrington Street, Halifax, NS, B3H 4R4",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fabulous-1-bedroom-downtown-halifax/1667845560,Kijiji User,Professional,0,1 Year,Limited,,Not Available,No,No,Yes,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No
