,title,price,date_posted,address,rental_type,num_bedrooms,num_bathrooms,url,company_type,num_parking,agreement_type,pet_friendly,move_in_date,size_sqft,furnished,air_conditioning,smoking_permitted,barrier_free_entrances_ramps,visual_aids,accessible_washrooms_in_suite,heat,hydro,water,cable_tv,internet,laundry_unit,laundry_building,dishwasher,fridge_freezer,yard,balcony,building_security,building_elevator,building_gym,bycycle_parking,storage_space
0,270 Willett St./Clayton Park 2-Bdrm available now or April 1,18650.0,2024-03-15 17:15:30+00:00,"Halifax, NS B3M 3L9",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/270-willett-st-clayton-park-2-bdrm-available-now-or-april-1/1591754701,Professional,1.0,1 Year,No,2024-03-01 00:00:00.000000000,900.0,False,False,outdoors only,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
1,SPRING MULTI-BUILDING OPEN HOUSE THIS WEEKEND!,10000.0,2024-03-15 23:25:21+00:00,"1551 South Park Street, Halifax, NS, B3J 4B4",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/spring-multi-building-open-house-this-weekend/1686109573,Professional,0.0,1 Year,Limited,2024-03-01 00:00:00.000000000,Not Available,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Renovated 1 Bedroom  Apartments in Halifax - 18 Crown Drive,10000.0,2024-03-16 14:45:31+00:00,"Halifax, NS B3M 1C3",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/renovated-1-bedroom-apartments-in-halifax-18-crown-drive/1682649813,Professional,0.0,1 Year,Limited,2024-03-01 00:00:00.000000000,500.0,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,True,True,False,False,False
3,Clayton Park West Furnished Apt. All utilities incl.May 1st,22000.0,2024-03-14 23:47:40+00:00,"Halifax, NS B3M 4J4",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/clayton-park-west-furnished-apt-all-utilities-incl-may-1st/1688242905,Owner,1.0,1 Year,No,2024-05-01 00:00:00.000000000,920.0,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False
4,1 Bedroom City Scape Downtown Halifax,10000.0,2024-03-12 15:48:00+00:00,"1715 Lower Water St, Halifax, NS, B3L 0J4",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-city-scape-downtown-halifax/1688002025,Professional,0.0,1 Year,Yes,2024-05-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,1 Bedroom Sea Loge Downtown Halifax,10000.0,2024-03-05 14:19:54+00:00,"1715 Lower Water St, Halifax, NS, B3L 0J4",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-sea-loge-downtown-halifax/1686402156,Professional,0.0,1 Year,Yes,2024-05-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Private room available from 1st April ,8000.0,2024-03-17 04:33:04+00:00,"5651 Ogilvie St, Halifax, B3H 1B9",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/private-room-available-from-1st-april/1688435948,Owner,0.0,Month-to-month,Yes,2024-03-31 00:00:00.000000000,1.0,True,False,outdoors only,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Furnished bachelor unit for rent in Lakeside,22000.0,2024-03-17 03:26:51+00:00,"Lakeside, NS B3T 1B2",Apartment,0.0,1.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/furnished-bachelor-unit-for-rent-in-lakeside/1688433696,Owner,0.0,1 Year,Limited,2024-03-31 12:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,Spacious 3 Bed Condo on Lacewood Drive for Rent,28000.0,2024-03-17 03:02:59+00:00,"Regency Park Drive, Halifax, NS",Condo,3.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/spacious-3-bed-condo-on-lacewood-drive-for-rent/1688431972,Owner,1.0,1 Year,Yes,2024-04-01 00:00:00.000000000,1480.0,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True
9,Room for rent in Halifax from April 1-st.,8000.0,2024-03-17 01:49:52+00:00,"Halifax, NS B3M 2R9",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent-in-halifax-from-april-1-st/1688429254,Private seller,0.0,1 Year,Limited,2024-04-06 13:05:27.272727296,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
