title,price,date_posted,address,rental_type,num_bedrooms,num_bathrooms,url,company,company_type,Parking Included,Agreement Type,Pet Friendly,Move-In Date,Size (sqft),Furnished,Air Conditioning,Smoking Permitted,Elevator Accessibility Features,Barrier-free Entrances and Ramps,Visual Aids,Accessible Washrooms in Suite,heat,hydro,water,cable_tv,internet,laundry_unit,laundry_building,dishwasher,fridge_freezer,yard,balcony,building_security,building_elevator,building_gym,bycycle_parking,storage_space
270 Willett St./Clayton Park 2-Bdrm available now or April 1,1865,2024-03-15T17:15:30.000Z,"Halifax, NS B3M 3L9",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/270-willett-st-clayton-park-2-bdrm-available-now-or-april-1/1591754701,Kijiji User,Professional,1,1 Year,No,01-Mar-24,900,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
SPRING MULTI-BUILDING OPEN HOUSE THIS WEEKEND!,,2024-03-15T23:25:21.000Z,"1551 South Park Street, Halifax, NS, B3J 4B4",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/spring-multi-building-open-house-this-weekend/1686109573,Kijiji User,Professional,0,1 Year,Limited,,Not Available,No,No,Yes,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Renovated 1 Bedroom  Apartments in Halifax - 18 Crown Drive,,2024-03-16T14:45:31.000Z,"Halifax, NS B3M 1C3",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/renovated-1-bedroom-apartments-in-halifax-18-crown-drive/1682649813,Kijiji User,Professional,0,1 Year,Limited,01-Mar-24,500,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No
Clayton Park West Furnished Apt. All utilities incl.May 1st,2200,2024-03-14T23:47:40.000Z,"Halifax, NS B3M 4J4",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/clayton-park-west-furnished-apt-all-utilities-incl-may-1st/1688242905,Kijiji User,Owner,1,1 Year,No,01-May-24,920,Yes,Yes,No,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
1 Bedroom City Scape Downtown Halifax,,2024-03-12T15:48:00.000Z,"1715 Lower Water St, Halifax, NS, B3L 0J4",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-city-scape-downtown-halifax/1688002025,Kijiji User,Professional,0,1 Year,Yes,01-May-24,Not Available,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Bedroom Sea Loge Downtown Halifax,,2024-03-05T14:19:54.000Z,"1715 Lower Water St, Halifax, NS, B3L 0J4",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-sea-loge-downtown-halifax/1686402156,Kijiji User,Professional,0,1 Year,Yes,01-May-24,Not Available,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Private room available from 1st April ,800,2024-03-17T04:33:04.000Z,"5651 Ogilvie St, Halifax, B3H 1B9",Apartment,1 + Den,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/private-room-available-from-1st-april/1688435948,Kijiji User,Owner,0,Month-to-month,Yes,31-Mar-24,1,Yes,No,Outdoors only,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Furnished bachelor unit for rent in Lakeside,2200,2024-03-17T03:26:51.000Z,"Lakeside, NS B3T 1B2",,Bachelor/Studio,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/furnished-bachelor-unit-for-rent-in-lakeside/1688433696,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Spacious 3 Bed Condo on Lacewood Drive for Rent,2800,2024-03-17T03:02:59.000Z,"Regency Park Drive, Halifax, NS",Condo,3,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/spacious-3-bed-condo-on-lacewood-drive-for-rent/1688431972,Kijiji User,Owner,1,1 Year,Yes,01-Apr-24,"1,480",No,No,No,,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Room for rent in Halifax from April 1-st.,800,2024-03-17T01:49:52.000Z,"Halifax, NS B3M 2R9",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent-in-halifax-from-april-1-st/1688429254,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
