Property Name,Civic Address ,Floors,Units,Developer ,Proposed/ Under Development/ Completed,Website,Condo or Rental,Estimated Time of Completion,Retail Square Footage,District,Image
Agricola West ,"5684 West St. , Halifax, NS",5,42,Atlantic Developments ,Completed,https://www.agricolawest.ca/,Condo,Now ,TBD,Northend,http://d2kcmk0r62r1qk.cloudfront.net/imageSponsors/xlarge/2022_11_16_11_20_57_agricola-west-rendering-1.webp
The White Rose,"2172 Gottingen, Halifax, NS",5,26,BlackBay Group,Completed,https://blackbaygroup.ca/residential/2172-gottingen-street/,Rental,Now ,"1,285",Southend,https://blackbaygroup.ca/wp-content/uploads/2021/04/image0.jpeg
West 22,"7037 Mumford Road, Halifax, NS",22,140,Dexel,Completed,https://west22living.com/,Rental,Now ,"11,300",Westend,https://lh3.googleusercontent.com/p/AF1QipMlMv6GKUaROFDSwn69cRTl-M66yfsBuKzkYXfA=s680-w680-h510
The George,"6016 Pepperell St , Halifax, NS",,172,Dexel,Completed,https://thegeorgeresidence.com/,Rental,Completed,"9,989",Westend,https://img.zumpercdn.com/418966258/1280x960?auto=format
The Ted ,"6290 Quinpool Street, Halifax, NS",8,67,Facade Investments - Nahas,Completed,https://theted.ca/,Rental,Now ,"7,537",Westend,https://www.cbre.ca/resources/fileassets/CA-Plus-330048/c2b227ff/The%20TED%20-%20Quinpool%20Main%20Photo_watermark_Photo_1_medium.jpg
Brewery Park,"2855 Agricola St, Halifax, NS",3,8,Lynch,Completed,https://brewerypark.ca/private-spaces/,Rental,Now ,"1,600",Northend,
The Anthony,"5426 Portland Place, Halifax, NS",?,125,Ramia,Completed,https://theanthony.ca,Rental,2022,,Northend,https://64.media.tumblr.com/d7b02d6fcbc835752df28c9ac4c618b1/b7fd55f6f0b00fe5-87/s1280x1920/e330f5ee87509fe7b76fa3486d2b160ea8b73995.jpg
34eleven,"3411 Joseph Howe Dr., Halifax, NS",7,TBD,Saalah Brothers Development,Completed,https://www.34eleven.ca/floor-plans,Rental,May-23,0,Westend,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/fa/fa0f9896-57d9-40cd-8e43-86278b30cdb0?rule=kijijica-640-jpg
The Wynwood ,"2710 Agricola St, Halifax, NS",5,58,Split Rock Properties,Completed,https://splitrockproperties.ca/2710-agricola-st,Rental,5/1/2023,TBD,Northend,https://www.cbre.ca/resources/fileassets/CA-Plus-336423/b26db18b/2710%20Agricola%20-%20Exterior%20Render_edit_watermark_Photo_1_medium.jpg
Brenton,"1452 Brenton St. , Halifax, NS",17,161,WM Fares Architects,Completed,https://brentonsuites.com/,Rental,Now ,"10,000",Southend,http://imageshack.com/a/img909/6821/bQmKHk.png
Margaretta,"5515 Clyde St, Halifax, NS",9,221,WM Fares Architects,Completed,https://www.wmfaresarchitects.com/margaretta,Rental,Now ,"40,000",Southend,https://64.media.tumblr.com/93d43fd628c22fd3574654606f30f76c/f4ec2300292e9e4a-a3/s1280x1920/6ece316510840e14ecaa18754a7aaaf09031bf49.jpg
Barrington St Project,"1351 Barrington St., Halifax, NS",?,,Dexel,Planning Stage,https://dexel.ca/1333-1343-1351-barrington-street.html,,TBD,,Southend,https://images.squarespace-cdn.com/content/v1/597102da2e69cf32c2bb021f/1594045525423-REDA2XIBRXTEHO9C2BT7/George-and-Granville-credit-Fathom-Studio-Mar2020.jpg?format=1500w
Spring Garden West,"44 Spring Garden Road, Halifax, NS",30,300,Dexel,Planning Stage,http://springgardenwest.com,Rental,TBD,TBD,Southend,https://images.squarespace-cdn.com/content/v1/597102da2e69cf32c2bb021f/1513106883243-9MM5W8DCXJZEN1AMS0PO/SGW-Ekistics.jpg?format=1500w
1585 Grafton,"1585 Grafton , Halifax, NS",?,,Dexel,Planning Stage,https://dexel.ca/1585-grafton-st.html,,TBD,TBD,Southend,
Mitchell ,"Mitchell , Halifax, NS",?,,Dexel,Planning Stage,https://dexel.ca/mitchell.html,,TBD,,Southend,https://thumbs.dreamstime.com/z/mitchell-house-halifax-nova-scotia-canada-lower-water-street-downtown-84906316.jpg
Ocean Vista,"2215 Gottingen Street, Halifax, NS",20,200,EC Gottingen Investments,Planning Stage,https://www.cbc.ca/news/canada/nova-scotia/nova-scotia-housing-trust-affordable-housing-gottingen-street-1.5910190,Rental,2025,1000,Northend,https://i.imgur.com/1CoJidD.jpg
Aurora,"33 Carlton Street, Halifax, NS",8,65,Killam,Planning Stage,https://killamreit.com/aurora-eventide,Rental,TBD,TBD,Southend,https://killamreit.com/sites/default/files/styles/new_development_card_800x650_/public/new-developments-images/2021-12/CarltonEast.jpeg?itok=9IB0pj-o
Eventide,"55 Carlton Street, Halifax, NS",5,55,Killam,Planning Stage,https://killamreit.com/aurora-eventide,Rental,TBD,TBD,Southend,https://killamreit.com/sites/default/files/new-developments-images/2021-12/CarltonEast.jpeg
6324 Quinpool,"6324 Quinpool , Halifax, NS",8+PH,120,Dexel,Proposed,https://dexel.ca/6234-quinpool.html,Rental,TBD,"10,000",Westend,https://i0.wp.com/lindellsmithhfx.ca/wp-content/uploads/2021/08/pep1.jpg?ssl=1
The Elmwood,"5185 & 5189 South St , Halifax, NS",9 + 2,TBD,Galazy Properties,Proposed,https://cdn.halifax.ca/sites/default/files/documents/city-hall/boards-committees-commissions/220525hac912.pdf,Rental,TBD,TBD,Southend,https://saltwire.imgix.net/2022/5/25/Elmwood-rendering-1CROP.jpg?cs=srgb&fit=crop&h=568&w=847&dpr=1&auto=format%2Ccompress%2Cenhance
5515 Cogswell,"5515 Cogswell , Halifax, NS",9,TBD,Principal Developments,Proposed,https://www.principaldevelopments.com/,Rental,TBD,"3,050",Southend,https://i.ibb.co/0nqFP5t/2020-12-08-Cogswell-COGSWELL-NIGHT.webp
Ralston,"1557 Hollis Street, Halifax, NS, B3J 1V6",21,462,Universal Properties,Proposed,https://universalgroup.ca,Rental,TBD,,Downtown,https://allnovascotia.com/story_img/20131.jpg
3485 Joseph Howe,"3485 Jospeh Howe, Halifax, NS",7,TBD,WM Fares Architects,Proposed,https://www.wmfaresarchitects.com/3485-joseph-howe ,Rental,TBD,TBD,Westend,
Windsor + Willow ,"2570 Windsor St., Halifax, NS",7,64,WM Fares Architects,Proposed,https://www.wmfaresarchitects.com/windsor-willow,,TBD,TBD,Westend,https://i.ibb.co/Bc1LqHt/7a1cbf-04cae44398e04265a821a95c981552c8-mv2.jpg
South+Hollis,"5161 Hollis Street , Halifax, NS",6,TBD,WM Fares Architects,Proposed,https://www.wmfaresarchitects.com/south-hollis,,TBD,TBD,Southend,https://images.thestar.com/6x6L_ziQ1luMoW0RUvi7MWS9whw=/1200x800/smart/filters:cb(1573776252014)/https://www.thestar.com/content/dam/thestar/halifax/2019/11/14/two-tower-21-storey-downtown-halifax-development-approved/a_hal_hollis_development14.jpg
Robie & May,"2705 Robie St, Halifax, NS",8,TBD,WM Fares Architects,Proposed,https://wmfares.com/robiemay/,Rental,TBD,TBD,Northend,https://wmfares.com/robiemay/wp-content/uploads/2021/05/robie-and-may-render-1-scaled.jpg
The Interchange ,"3514 Joseph Howe Dr., Halifax, NS",11,324,BANC,Under Construction,https://bancgroup.ca/upcoming-properties/,Rental,TBD,"22,900",Westend,https://i.cbc.ca/1.6067962.1623864750!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_780/interchange.JPG
The Elevations,"5858 Macara St, Halifax, NS",19,91,BANC,Under Construction,https://www.theelevation.ca/,Rental,Early 24,"8,300",Northend,https://imageshack.com/a/img921/8388/ZDvooP.jpg
The Press Block,"1740 Granville St. , Halifax, NS",9,129,Dexel,Under Construction,http://pressblock.ca/,Rental,2024,"6,500",Southend,https://i.imgur.com/WXdkubJ.png
