Deposit,Price,Swimming pool,Property type,Elevator,Garage,Location,Washing machine,Price per sqft,Balcony,Bedrooms,Dish washer,Furnished,Bathrooms,Terrace,Area,Title,Pets allowed,City
,1550 CAD,,House,,Yes,"2026 Kline St, Halifax, Nova Scotia, B3L 2X3",,,,1,Yes,,1,,,Rent 1 bedroom house in Halifax,Yes,Halifax
,2549 CAD,,Apartment,,Yes,"211, 221 Glenforest Drive, Halifax, NS  B3M 1J3-TOWNHOUSE",Yes,2 CAD,,2,,,1,,1119 sqft,2 bedroom apartment of 1119 sq. ft in Halifax,Yes,Halifax
1047 CAD,2095 CAD,,Apartment,Yes,Yes,"1363 Hollis St,Canada",,3 CAD,,1,,,1,,613 sqft,1 bedroom apartment of 613 sq. ft in Halifax,,Halifax
1297 CAD,2595 CAD,,Apartment,Yes,Yes,"1343 Hollis St,Canada",,,,1,,,1,Yes,,Rent 1 bedroom apartment in Halifax,,Halifax
,4250 CAD,,House,,Yes,"5150-5184 Bishop St, Halifax, Nova Scotia, B3J",Yes,,,3,Yes,,1,,,Rent 3 bedroom house in Halifax,,Halifax
,3900 CAD,Yes,Apartment,,Yes,"1400-1400 S Park St, Halifax, Nova Scotia, B3J",Yes,,,2,Yes,Yes,2,Yes,,Rent 2 bedroom apartment in Halifax,,Halifax
997 CAD,1995 CAD,,Apartment,Yes,Yes,"1078 Tower Rd,Canada",,4 CAD,,1,,,1,Yes,473 sqft,1 bedroom apartment of 473 sq. ft in Halifax,,Halifax
,3995 CAD,,Apartment,,,"12 Palmer Hill
	4 Bedroom 3 Baths,Canada",,,,3,,,1,,,Rent 3 bedroom apartment in Halifax,,Halifax
1347 CAD,2695 CAD,,Apartment,Yes,Yes,"5251 South St,Canada",,,,2,,,1,,,Rent 2 bedroom apartment in Halifax,,Halifax
,1795 CAD,,Apartment,,Yes,"5206 Tobin Street,  Halifax B3H 1S2",Yes,2 CAD,Yes,1,Yes,,1,,699 sqft,1 bedroom apartment of 699 sq. ft in Halifax,Yes,Halifax
,2239 CAD,,Apartment,Yes,Yes,"40 Bedros Lane, Halifax, NS B3M 4X1",Yes,3 CAD,Yes,1,,,1,Yes,645 sqft,1 bedroom apartment of 645 sq. ft in Halifax,Yes,Halifax
